event_date,event_return,entry_date,entry_px,exit_date,exit_px,gross,net,retraced
2010-01-21,-0.024426965968527115,2010-01-22,5094.14990234375,2010-01-29,4882.0498046875,-0.041636014197121596,-0.0426360141971216,False
2010-02-05,-0.026148821603992345,2010-02-08,4755.35009765625,2010-02-15,4801.9501953125,0.009799509331440692,0.008799509331440691,False
2010-05-19,-0.028927063147710874,2010-05-20,4924.2998046875,2010-05-26,4917.39990234375,-0.001401194609877754,-0.002401194609877754,False
2010-06-01,-0.02282594692275186,2010-06-02,4970.75,2010-06-08,4987.10009765625,0.0032892617122668444,0.0022892617122668444,False
2010-11-16,-0.021709994155716394,2010-11-18,6075.9501953125,2010-11-24,5865.75,-0.034595444096080064,-0.035595444096080064,False
2010-12-09,-0.023239695576248276,2010-12-10,5761.0,2010-12-16,5948.75,0.032589828154834244,0.03158982815483424,True
2011-01-07,-0.02375065553569211,2011-01-10,5901.2998046875,2011-01-14,5654.5498046875,-0.04181282228772765,-0.04281282228772765,False
2011-02-04,-0.02370289953408422,2011-02-07,5430.14990234375,2011-02-11,5310.0,-0.022126443008855246,-0.023126443008855246,False
2011-02-24,-0.03212040777345426,2011-02-25,5321.0498046875,2011-03-04,5538.75,0.04091301590913887,0.03991301590913887,True
2011-05-03,-0.02386294517885945,2011-05-04,5567.7001953125,2011-05-10,5541.25,-0.004750650068185869,-0.005750650068185869,False
2011-06-20,-0.020218396313068876,2011-06-21,5280.7998046875,2011-06-27,5526.60009765625,0.046546035081762804,0.0455460350817628,True
2011-08-05,-0.022609589463865043,2011-08-08,5083.85009765625,2011-08-12,5072.9501953125,-0.0021440251255195886,-0.0031440251255195886,False
2011-08-18,-0.02223830106015723,2011-08-19,4859.2998046875,2011-08-25,4839.60009765625,-0.004054021736268787,-0.005054021736268787,False
2011-09-12,-0.022265342334898075,2011-09-13,4977.7998046875,2011-09-19,5031.9501953125,0.01087837855070184,0.009878378550701838,False
2011-09-22,-0.04083185070983297,2011-09-23,4873.75,2011-09-29,5015.4501953125,0.02907416164401133,0.02807416164401133,False
2011-11-21,-0.025979394207947815,2011-11-22,4794.85009765625,2011-11-29,4805.10009765625,0.002137710208085508,0.0011377102080855081,False
2011-12-08,-0.023495870307348232,2011-12-09,4870.75,2011-12-15,4746.35009765625,-0.025540194496484148,-0.02654019449648415,False
2012-01-30,-0.02255660964501549,2012-01-31,5125.25,2012-02-06,5361.64990234375,0.04612456023486655,0.04512456023486655,True
2012-02-27,-0.027277846997348587,2012-02-28,5310.5,2012-03-05,5280.35009765625,-0.005677413114348884,-0.006677413114348884,False
2012-03-22,-0.025442920256606216,2012-03-23,5255.64990234375,2012-03-29,5178.85009765625,-0.014612808332847949,-0.01561280833284795,False
2012-05-08,-0.02233014464024874,2012-05-09,4967.89990234375,2012-05-15,4942.7998046875,-0.005052456400018945,-0.006052456400018945,False
2013-05-23,-0.020912330020920522,2013-05-24,6010.7001953125,2013-05-30,6124.0498046875,0.018857970900527876,0.017857970900527875,True
2013-05-31,-0.022550373328005135,2013-06-03,5997.35009765625,2013-06-07,5881.0,-0.01940025107117216,-0.02040025107117216,False
2013-06-20,-0.028571445344368618,2013-06-21,5639.89990234375,2013-06-27,5682.35009765625,0.007526763958143778,0.006526763958143778,False
2013-08-06,-0.025178510712102753,2013-08-07,5549.2998046875,2013-08-14,5742.2998046875,0.03477916255974711,0.03377916255974711,True
2013-08-16,-0.04082853821736476,2013-08-19,5497.5498046875,2013-08-23,5471.75,-0.0046929642484551115,-0.0056929642484551115,False
2013-08-27,-0.03452018710627225,2013-08-28,5233.4501953125,2013-09-03,5341.4501953125,0.0206364818560294,0.019636481856029397,False
2013-09-03,-0.03770658103634639,2013-09-04,5358.64990234375,2013-09-11,5913.14990234375,0.10347755686697768,0.10247755686697768,True
2013-09-23,-0.020350642149811637,2013-09-24,5855.0,2013-09-30,5735.2998046875,-0.020444098260034127,-0.021444098260034128,False
2013-11-21,-0.020227359524339406,2013-11-22,6027.35009765625,2013-11-28,6091.85009765625,0.01070122009754848,0.00970122009754848,False
